2024-02-07 16:48:18 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f90eb374100>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 16:50:29 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f90ed64ae80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 16:52:40 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f90ed64aa60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:14:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b06673e80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:16:54 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b0ce96460>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:19:05 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b0ce961f0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:23:27 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b0ce88a60>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:25:38 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b066733a0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 17:27:49 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5b06673340>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 21:46:37 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2f112c51c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 21:48:48 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2f1231c2e0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 21:50:59 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2f1231c220>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2024-02-07 22:25:12 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f74faedd040>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
